enricher,field,macro_f1,balanced_acc,n,coverage,acc_on_committed,over_confidence
ML,location,0.3441503551151434,0.35778044871794873,1522,0.812089356110381,0.4696691176470588,0.7708333333333334
ML,activity,0.28330896911415704,0.3174853136110741,1380,0.9492753623188406,0.4119968429360695,0.86
ML,companion,0.4025143379263647,0.4213392377885132,802,0.39027431421446385,0.8050847457627118,0.3391304347826087
LLM,location,0.2476601498742209,0.29106770833333334,1522,0.8495400788436268,0.4007155635062612,0.9114583333333334
LLM,activity,0.22872445961359647,0.2526810272610792,1380,0.9405797101449276,0.4257188498402556,0.92
LLM,companion,0.28685982633351054,0.33485507246376806,802,0.011221945137157107,1.0,0.010434782608695653
