class,support,ml_f1,llm_f1,ml_recall,llm_recall,ml_precision,llm_precision,ml_n_pred,llm_n_pred
gym,200,0.0365,0.0773,0.025,0.045,0.0676,0.2727,74,33
home,200,0.452,0.4318,0.635,0.87,0.3508,0.2871,362,606
outdoors,200,0.2751,0.3426,0.24,0.43,0.3221,0.2848,149,302
restaurant,200,0.4381,0.0588,0.345,0.035,0.6,0.1842,115,38
work,200,0.5325,0.3133,0.635,0.3,0.4585,0.3279,277,183
transit,200,0.545,0.6767,0.53,0.56,0.5608,0.855,189,131
unknown,192,0.1841,0.0808,0.2292,0.0885,0.1538,0.0742,286,229
beach,130,0.29,0.0,0.2231,0.0,0.4143,0.0,70,0
