class,support,c0_f1,c2_f1,c0_recall,c2_recall,c0_precision,c2_precision,c0_n_pred,c2_n_pred
gym,200,0.0773,0.5894,0.045,0.445,0.2727,0.8725,33,102
home,200,0.4318,0.4936,0.87,0.775,0.2871,0.3621,606,428
outdoors,200,0.3426,0.3107,0.43,0.32,0.2848,0.3019,302,212
restaurant,200,0.0588,0.4699,0.035,0.41,0.1842,0.5503,38,149
work,200,0.3133,0.5934,0.3,0.675,0.3279,0.5294,183,255
transit,200,0.6767,0.665,0.56,0.67,0.855,0.6601,131,203
unknown,192,0.0808,0.092,0.0885,0.0781,0.0742,0.1119,229,134
beach,130,0.0,0.426,0.0,0.2769,0.0,0.9231,0,39
